group_type,group,rows,labeled_rows,positive_labels,negative_labels,winrate,avg_result_r,total_result_r,tp_hit_count,sl_hit_count,unknown_count,confidence_level,insufficient_data
trade_location+entry_context,UNKNOWN|BREAKOUT,21,0,0,0,0.0,0.0,0,0,0,21,LOW,True
trade_location+entry_context,UNKNOWN|PULLBACK,93,0,0,0,0.0,0.0,0,0,0,93,LOW,True
trade_location+entry_context,UNKNOWN|UNKNOWN,98,0,0,0,0.0,0.0,0,0,0,98,LOW,True
trade_location+entry_context,UNKNOWN|EXHAUSTION,18,0,0,0,0.0,0.0,0,0,0,18,LOW,True
trade_location+entry_context,UNKNOWN|CHOPPY_RANGE,8,0,0,0,0.0,0.0,0,0,0,8,LOW,True
trade_location+entry_context,UNKNOWN|IMPULSE,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
trade_location+entry_context,near_support|BREAKOUT,13,7,2,5,28.57,0.1079,0.7552,2,5,6,LOW,True
trade_location+entry_context,near_support|PULLBACK,4,2,1,1,50.0,0.2534,0.5068,1,1,2,LOW,True
trade_location+entry_context,mid_range|BREAKOUT,8,4,2,2,50.0,0.375,1.5,2,2,4,LOW,True
trade_location+entry_context,near_resistance|PULLBACK,2,2,1,1,50.0,0.9755,1.951,1,1,0,LOW,True
trade_location+entry_context,mid_range|EXHAUSTION,1,1,1,0,100.0,1.6568,1.6568,1,0,0,LOW,True
