generated_at,segment,target_context,feature,value,sample_size,total_r,profit_factor,winrate,avg_r,max_drawdown,confidence,rolling_last_10_r,rolling_last_20_r,rolling_last_30_r,degradation,toxicity_score,opportunity_score,classification
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,penalty,none,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,penalty,distance_to_liquidity_penalty:10,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,penalty,secondary_confluence_bonus:+35,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,rejection_reason,distance_to_liquidity_penalty,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,entry_context=CHOPPY_RANGE,direction,short,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,entry_context=CHOPPY_RANGE,trade_location,near_resistance,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,entry_context=CHOPPY_RANGE,volume_bucket,volume_high,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,entry_context=CHOPPY_RANGE,opened_hour_utc,10,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,entry_context=CHOPPY_RANGE,opened_hour_utc,8,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,entry_context=CHOPPY_RANGE,symbol,SOLUSDT,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,entry_context=CHOPPY_RANGE,symbol,TRXUSDT,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,market_regime=HIGH_VOLATILITY,score_bucket,90+,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,market_regime=HIGH_VOLATILITY,volume_bucket,volume_low,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,market_regime=HIGH_VOLATILITY,opened_hour_utc,10,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,market_regime=HIGH_VOLATILITY,penalty,secondary_confluence_bonus:+25,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,session,LONDON,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,setup_type,SECONDARY_SIGNAL,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,trade_location,mid_range,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,trade_location,near_resistance,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,score_bucket,60-69,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
