dimension,value,classification,labeled_rows,winrate,avg_result_r,total_result_r,confidence_level,recommendation,next_action
trade_location+entry_context,premium_zone|PULLBACK,AVOID_PUBLIC,2,0.0,-1.0,-2.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
trade_location+entry_context,premium_zone|BREAKOUT,AVOID_PUBLIC,2,0.0,-1.0,-2.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
market_regime+entry_context,RANGING|EXHAUSTION,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
setup_type+entry_context,SECONDARY_SIGNAL|CHOPPY_RANGE,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
symbol,XRPUSDT,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
symbol,UNIUSDT,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
symbol,ETCUSDT,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
symbol,SANDUSDT,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
symbol,APEUSDT,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
symbol,ATOMUSDT,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
symbol,SUIUSDT,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
symbol,TRXUSDT,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
trade_location,discount_zone,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
